,Unnamed: 0,Incident_Num,Incident_Type,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender,date,count,race_weights,pop,weight_count
9816,10298,48773,1,North,JOHN,J3,1665,16672,Black or African American,Male,2019-09-19 14:45:00,1.0,0.07,52.757,0.018954830638588244
9817,10299,48774,1,North,JOHN,J3,1611,16672,Black or African American,Male,2019-09-19 14:45:00,1.0,0.07,52.757,0.018954830638588244
9818,10300,48776,1,East,EDWARD,E2,1122,11422,Black or African American,Male,2019-09-19 15:00:00,1.0,0.07,52.757,0.018954830638588244
9819,10301,48817,1,North,NORA,N2,914,21246,White,Male,2019-09-20 14:39:00,1.0,0.68,512.499,0.0019512233194601354
9820,10302,48818,1,North,NORA,N2,2454,21246,White,Male,2019-09-20 14:50:00,1.0,0.68,512.499,0.0019512233194601354
9821,10303,48002,1,West,MARY,M3,1775,21052,Black or African American,Male,2019-08-28 14:38:00,1.0,0.07,52.757,0.018954830638588244
9822,10304,47115,2,East,EDWARD,E3,2176,20790,Black or African American,Male,2019-08-03 03:00:00,1.0,0.07,52.757,0.018954830638588244
9823,10305,47114,2,East,EDWARD,E3,1143,20790,Black or African American,Male,2019-08-03 03:00:00,1.0,0.07,52.757,0.018954830638588244
9824,10307,47854,2,East,EDWARD,E2,1855,21012,White,Male,2019-08-23 23:22:00,1.0,0.68,512.499,0.0019512233194601354
9827,10310,48489,1,South,SAM,S3,5265,21187,Hispanic or Latino,Male,2019-09-12 14:27:00,1.0,0.066,49.743,0.020103331121966907
9828,10311,48810,1,South,OCEAN,O3,1692,18377,White,Female,2019-09-20 10:49:00,1.0,0.68,512.499,0.0019512233194601354
9829,10312,48812,1,South,OCEAN,O3,2217,18377,White,Female,2019-09-20 10:02:00,1.0,0.68,512.499,0.0019512233194601354
9830,10313,48823,1,5972 RAINIER AV S,SAM,R,1529,21248,White,Female,2019-09-20 10:13:00,1.0,0.68,512.499,0.0019512233194601354
9831,10314,46404,2,West,QUEEN,Q3,1881,20590,Black or African American,Male,2019-07-14 01:52:00,1.0,0.07,52.757,0.018954830638588244
9832,10315,46447,2,West,QUEEN,Q3,1635,17987,Black or African American,Male,2019-07-14 02:30:00,1.0,0.07,52.757,0.018954830638588244
9833,10316,46477,2,West,QUEEN,Q3,715,20590,Black or African American,Male,2019-07-14 02:00:00,1.0,0.07,52.757,0.018954830638588244
9834,10317,47976,1,West,KING,K3,1768,735,Black or African American,Male,2019-08-27 20:44:00,1.0,0.07,52.757,0.018954830638588244
9835,10318,48007,1,West,KING,K3,5020,20224,Black or African American,Male,2019-08-27 20:25:00,1.0,0.07,52.757,0.018954830638588244
9836,10319,48406,2,North,NORA,N2,4854,21160,White,Male,2019-09-10 12:25:00,1.0,0.68,512.499,0.0019512233194601354
9837,10320,48405,2,North,NORA,N2,2300,21160,White,Male,2019-09-10 12:23:00,1.0,0.68,512.499,0.0019512233194601354
9838,10321,48777,1,West,QUEEN,Q3,1828,20958,White,Female,2019-08-18 16:18:00,1.0,0.68,512.499,0.0019512233194601354
9839,10322,47802,2,North,NORA,N3,1833,20993,Black or African American,Male,2019-08-21 20:45:00,1.0,0.07,52.757,0.018954830638588244
9840,10323,47803,2,North,NORA,N3,1721,20994,Black or African American,Male,2019-08-22 20:49:00,1.0,0.07,52.757,0.018954830638588244
9841,10324,47889,1,North,NORA,N3,769,20224,Black or African American,Male,2019-08-22 21:15:00,1.0,0.07,52.757,0.018954830638588244
9842,10325,47891,1,North,NORA,N3,2313,20224,Black or African American,Male,2019-08-21 20:33:00,1.0,0.07,52.757,0.018954830638588244
9843,10326,48135,1,North,NORA,N3,2216,20224,Black or African American,Male,2019-08-21 21:06:00,1.0,0.07,52.757,0.018954830638588244
